Run,City,System,FailureTime
1,New York,Power Grid AI,9
1,New York,Internet Backbone AI,8
1,New York,Data Centers,14
1,New York,Hospitals,11
1,New York,Finance,12
1,New York,Logistics,13
1,New York,Emergency Services,20
1,New York,Media,17
1,New York,Government Portals,21
1,Los Angeles,Power Grid AI,9
1,Los Angeles,Internet Backbone AI,13
1,Los Angeles,Data Centers,18
1,Los Angeles,Hospitals,13
1,Los Angeles,Finance,12
1,Los Angeles,Logistics,15
1,Los Angeles,Emergency Services,22
1,Los Angeles,Media,19
1,Los Angeles,Government Portals,15
1,Chicago,Power Grid AI,7
1,Chicago,Internet Backbone AI,9
1,Chicago,Data Centers,10
1,Chicago,Hospitals,14
1,Chicago,Finance,14
1,Chicago,Logistics,15
1,Chicago,Emergency Services,19
1,Chicago,Media,12
1,Chicago,Government Portals,15
1,Houston,Power Grid AI,8
1,Houston,Internet Backbone AI,11
1,Houston,Data Centers,18
1,Houston,Hospitals,16
1,Houston,Finance,14
1,Houston,Logistics,14
1,Houston,Emergency Services,29
1,Houston,Media,17
1,Houston,Government Portals,16
1,Phoenix,Power Grid AI,5
1,Phoenix,Internet Backbone AI,11
1,Phoenix,Data Centers,13
1,Phoenix,Hospitals,12
1,Phoenix,Finance,13
1,Phoenix,Logistics,7
1,Phoenix,Emergency Services,22
1,Phoenix,Media,17
1,Phoenix,Government Portals,23
1,Philadelphia,Power Grid AI,8
1,Philadelphia,Internet Backbone AI,11
1,Philadelphia,Data Centers,11
1,Philadelphia,Hospitals,15
1,Philadelphia,Finance,11
1,Philadelphia,Logistics,11
1,Philadelphia,Emergency Services,18
1,Philadelphia,Media,16
1,Philadelphia,Government Portals,26
1,San Antonio,Power Grid AI,4
1,San Antonio,Internet Backbone AI,6
1,San Antonio,Data Centers,14
1,San Antonio,Hospitals,18
1,San Antonio,Finance,9
1,San Antonio,Logistics,6
1,San Antonio,Emergency Services,24
1,San Antonio,Media,19
1,San Antonio,Government Portals,10
1,San Diego,Power Grid AI,0
1,San Diego,Internet Backbone AI,6
1,San Diego,Data Centers,10
1,San Diego,Hospitals,14
1,San Diego,Finance,14
1,San Diego,Logistics,15
1,San Diego,Emergency Services,22
1,San Diego,Media,14
1,San Diego,Government Portals,10
1,Dallas,Power Grid AI,6
1,Dallas,Internet Backbone AI,9
1,Dallas,Data Centers,16
1,Dallas,Hospitals,20
1,Dallas,Finance,14
1,Dallas,Logistics,14
1,Dallas,Emergency Services,29
1,Dallas,Media,14
1,Dallas,Government Portals,14
1,San Jose,Power Grid AI,6
1,San Jose,Internet Backbone AI,10
1,San Jose,Data Centers,11
1,San Jose,Hospitals,17
1,San Jose,Finance,14
1,San Jose,Logistics,10
1,San Jose,Emergency Services,22
1,San Jose,Media,13
1,San Jose,Government Portals,20
2,New York,Power Grid AI,11
2,New York,Internet Backbone AI,13
2,New York,Data Centers,21
2,New York,Hospitals,22
2,New York,Finance,17
2,New York,Logistics,20
2,New York,Emergency Services,27
2,New York,Media,15
2,New York,Government Portals,21
2,Los Angeles,Power Grid AI,11
2,Los Angeles,Internet Backbone AI,11
2,Los Angeles,Data Centers,14
2,Los Angeles,Hospitals,15
2,Los Angeles,Finance,17
2,Los Angeles,Logistics,14
2,Los Angeles,Emergency Services,27
2,Los Angeles,Media,18
2,Los Angeles,Government Portals,13
2,Chicago,Power Grid AI,9
2,Chicago,Internet Backbone AI,13
2,Chicago,Data Centers,14
2,Chicago,Hospitals,12
2,Chicago,Finance,16
2,Chicago,Logistics,12
2,Chicago,Emergency Services,16
2,Chicago,Media,18
2,Chicago,Government Portals,20
2,Houston,Power Grid AI,9
2,Houston,Internet Backbone AI,12
2,Houston,Data Centers,16
2,Houston,Hospitals,13
2,Houston,Finance,14
2,Houston,Logistics,16
2,Houston,Emergency Services,28
2,Houston,Media,20
2,Houston,Government Portals,20
2,Phoenix,Power Grid AI,9
2,Phoenix,Internet Backbone AI,14
2,Phoenix,Data Centers,14
2,Phoenix,Hospitals,13
2,Phoenix,Finance,15
2,Phoenix,Logistics,18
2,Phoenix,Emergency Services,16
2,Phoenix,Media,20
2,Phoenix,Government Portals,21
2,Philadelphia,Power Grid AI,0
2,Philadelphia,Internet Backbone AI,12
2,Philadelphia,Data Centers,8
2,Philadelphia,Hospitals,14
2,Philadelphia,Finance,14
2,Philadelphia,Logistics,9
2,Philadelphia,Emergency Services,23
2,Philadelphia,Media,21
2,Philadelphia,Government Portals,22
2,San Antonio,Power Grid AI,5
2,San Antonio,Internet Backbone AI,10
2,San Antonio,Data Centers,8
2,San Antonio,Hospitals,13
2,San Antonio,Finance,13
2,San Antonio,Logistics,15
2,San Antonio,Emergency Services,24
2,San Antonio,Media,12
2,San Antonio,Government Portals,15
2,San Diego,Power Grid AI,2
2,San Diego,Internet Backbone AI,9
2,San Diego,Data Centers,8
2,San Diego,Hospitals,12
2,San Diego,Finance,17
2,San Diego,Logistics,9
2,San Diego,Emergency Services,15
2,San Diego,Media,12
2,San Diego,Government Portals,17
2,Dallas,Power Grid AI,10
2,Dallas,Internet Backbone AI,12
2,Dallas,Data Centers,14
2,Dallas,Hospitals,17
2,Dallas,Finance,17
2,Dallas,Logistics,21
2,Dallas,Emergency Services,23
2,Dallas,Media,18
2,Dallas,Government Portals,15
2,San Jose,Power Grid AI,6
2,San Jose,Internet Backbone AI,12
2,San Jose,Data Centers,10
2,San Jose,Hospitals,12
2,San Jose,Finance,17
2,San Jose,Logistics,12
2,San Jose,Emergency Services,20
2,San Jose,Media,12
2,San Jose,Government Portals,20
3,New York,Power Grid AI,10
3,New York,Internet Backbone AI,13
3,New York,Data Centers,17
3,New York,Hospitals,14
3,New York,Finance,13
3,New York,Logistics,15
3,New York,Emergency Services,21
3,New York,Media,23
3,New York,Government Portals,18
3,Los Angeles,Power Grid AI,7
3,Los Angeles,Internet Backbone AI,11
3,Los Angeles,Data Centers,9
3,Los Angeles,Hospitals,14
3,Los Angeles,Finance,14
3,Los Angeles,Logistics,17
3,Los Angeles,Emergency Services,24
3,Los Angeles,Media,17
3,Los Angeles,Government Portals,20
3,Chicago,Power Grid AI,12
3,Chicago,Internet Backbone AI,11
3,Chicago,Data Centers,15
3,Chicago,Hospitals,19
3,Chicago,Finance,15
3,Chicago,Logistics,14
3,Chicago,Emergency Services,28
3,Chicago,Media,14
3,Chicago,Government Portals,13
3,Houston,Power Grid AI,9
3,Houston,Internet Backbone AI,8
3,Houston,Data Centers,12
3,Houston,Hospitals,20
3,Houston,Finance,15
3,Houston,Logistics,11
3,Houston,Emergency Services,26
3,Houston,Media,10
3,Houston,Government Portals,13
3,Phoenix,Power Grid AI,0
3,Phoenix,Internet Backbone AI,4
3,Phoenix,Data Centers,7
3,Phoenix,Hospitals,15
3,Phoenix,Finance,7
3,Phoenix,Logistics,10
3,Phoenix,Emergency Services,24
3,Phoenix,Media,10
3,Phoenix,Government Portals,8
3,Philadelphia,Power Grid AI,10
3,Philadelphia,Internet Backbone AI,12
3,Philadelphia,Data Centers,16
3,Philadelphia,Hospitals,23
3,Philadelphia,Finance,12
3,Philadelphia,Logistics,12
3,Philadelphia,Emergency Services,33
3,Philadelphia,Media,19
3,Philadelphia,Government Portals,25
3,San Antonio,Power Grid AI,5
3,San Antonio,Internet Backbone AI,13
3,San Antonio,Data Centers,13
3,San Antonio,Hospitals,16
3,San Antonio,Finance,17
3,San Antonio,Logistics,20
3,San Antonio,Emergency Services,18
3,San Antonio,Media,16
3,San Antonio,Government Portals,19
3,San Diego,Power Grid AI,10
3,San Diego,Internet Backbone AI,11
3,San Diego,Data Centers,17
3,San Diego,Hospitals,23
3,San Diego,Finance,9
3,San Diego,Logistics,15
3,San Diego,Emergency Services,28
